SCHOOL_YEAR,District,District_Name,SCHOOL_ID,SCHOOL_NAME,K_8_Attendance_Rate_PCT,K_8_Promotion_Rate_PCT,State_Goal_Attendance_Rate,State_Goal_Promotion_Rate,Attendance_Rate_PCT,Cohort_Dropout__PCT,Graduation_Rate_NCLB_PCT,Event_Dropout_PCT,All_grad_rate,White_grad_rate,African_American_grad_rate,Hispanic_grad_rate,Asian_grad_rate,Native_American_grad_rate,Hawaiian_PacIsld_grad_rate,Male_grad_rate,Female_grad_rate,Economically_Disadvantaged_grad_rate,Students_with_Disabilities_grad_rate,Limited_English_Proficient_grad_rate
2015,93,Huntingdon,10,Huntingdon High School,,,,,96.8,0.0,100.0,0.3,100.0,100.0,100.0,100.0,,,,100.0,100.0,100.0,100.0,
2015,190,Davidson County,53,Nashville Big Picture High School,,,,,92.2,2.4,97.6,0.0,97.6,93.8,100.0,100.0,,,,93.8,100.0,100.0,100.0,
2015,190,Davidson County,355,Hume - Fogg High,,,,,96.2,0.4,99.6,0.2,99.6,99.3,100.0,100.0,100.0,100.0,,98.9,100.0,100.0,100.0,100.0
2015,190,Davidson County,437,Middle College High,,,,,93.4,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,,,100.0,100.0,100.0,100.0,100.0
2015,190,Davidson County,456,Martin Luther King Jr School,98.0,100.0,,,96.8,0.0,100.0,0.2,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,
2015,260,Franklin County,65,Huntland School,95.9,99.5,,,94.8,0.0,100.0,0.9,100.0,100.0,100.0,100.0,,,,100.0,100.0,100.0,100.0,
2015,330,Hamilton County,45,Chatt High Center For Creative Arts,99.6,95.7,,,99.7,0.0,100.0,0.2,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,
2015,370,Hawkins County,30,Clinch School,96.5,99.1,,,96.9,0.0,100.0,0.0,100.0,100.0,,,,,,100.0,100.0,100.0,100.0,
2015,570,Madison County,63,Madison Academic Magnet High School,,,,,95.3,0.0,100.0,0.2,100.0,100.0,100.0,100.0,100.0,,,100.0,100.0,100.0,,100.0
2015,581,Richard City,5,Richard Hardy Memorial School,93.3,99.5,,,93.3,0.0,93.3,0.0,93.3,92.9,,,100.0,,,100.0,87.5,100.0,,100.0
2015,600,Maury County,40,Hampshire Unit School,96.2,97.0,,,98.4,0.0,100.0,0.7,100.0,100.0,100.0,100.0,100.0,,,100.0,100.0,100.0,100.0,
2015,630,Montgomery County,88,The Middle College @ Austin Peay State University,,,,,99.2,0.0,100.0,0.0,100.0,100.0,100.0,100.0,,100.0,,100.0,100.0,100.0,100.0,
2015,740,Robertson County,45,Jo Byrns High School,98.8,,,,99.4,0.0,98.8,0.3,98.8,98.7,100.0,100.0,,,100.0,100.0,96.8,100.0,90.0,100.0
2015,740,Robertson County,95,Robertson Co. Virtual School,100.0,100.0,,,100.0,0.0,100.0,0.0,100.0,100.0,,,,,,,100.0,100.0,,
2015,750,Rutherford County,15,Central Magnet School,97.4,100.0,,,99.8,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,,
2015,750,Rutherford County,35,Eagleville School,95.9,99.6,,,96.3,0.9,99.1,0.0,99.1,100.0,66.7,100.0,,,100.0,98.6,100.0,100.0,100.0,
2015,792,Shelby County,2338,Hollis F. Price Middle College High School,,,,,96.6,0.0,100.0,1.6,100.0,,100.0,,,,,100.0,100.0,100.0,,
2015,792,Shelby County,2515,Middle College High School,,,,,97.8,0.0,100.0,0.8,100.0,100.0,100.0,100.0,,,,100.0,100.0,100.0,100.0,
2015,792,Shelby County,8252,Memphis School of Excellence,97.0,100.0,,,97.8,0.0,92.3,1.7,92.3,,91.7,100.0,,,,100.0,87.5,100.0,,100.0
2015,830,Sumner County,53,Merrol Hyde Magnet School,99.5,99.8,,,99.1,0.0,100.0,0.0,100.0,100.0,,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0
2015,830,Sumner County,155,Sumner County Middle College High School,,,,,100.0,0.0,100.0,0.0,100.0,100.0,100.0,,100.0,,,100.0,100.0,100.0,100.0,100.0
2015,850,Trousdale County,10,Trousdale Co High School,,100.0,,,93.5,0.0,98.7,0.0,98.7,98.4,100.0,100.0,,100.0,,97.3,100.0,100.0,100.0,
2015,880,Van Buren County,35,Van Buren Co High School,98.2,,,,97.9,0.0,98.5,0.0,98.5,98.5,,,,,,96.7,100.0,100.0,100.0,
2015,900,Washington County,105,University School,96.3,100.0,,,95.7,0.0,100.0,0.0,100.0,100.0,,100.0,100.0,,,100.0,100.0,100.0,100.0,
2015,910,Wayne County,25,Frank Hughes School,94.2,100.0,,,94.8,0.0,100.0,0.9,100.0,100.0,100.0,,,,,100.0,100.0,100.0,100.0,
2015,490,Lauderdale County,40,Ripley High School,,,,,95.4,0.0,99.6,0.1,99.6,99.0,100.0,100.0,,100.0,100.0,99.1,100.0,99.5,95.0,100.0
2015,190,Davidson County,203,East Nashville School,96.7,100.0,,,96.1,0.7,99.3,0.2,99.3,100.0,99.2,100.0,100.0,,,98.5,100.0,99.2,100.0,100.0
2015,840,Tipton County,50,Munford High School,,,,,94.0,0.0,98.4,0.0,98.4,97.9,100.0,100.0,100.0,,100.0,97.9,98.8,98.8,85.7,
