YEAR,DISTRICT,DISTRICT_NAME,SCHOOL_NAME,SCHOOL_ID,GRADES_SERVED,SAFE_SCHOOL,AVERAGE_DAILY_MEMBERSHIP,TOTAL,WHITE,AFRICAN_AMERICAN,HISPANIC,ASIAN,NATIVE_AMERICAN,HAWAIIAN_PACISLD,MALE,FEMALE,WHITE_PCT,AFRICAN_AMERICAN_PCT,HISPANIC_PCT,ASIAN_PCT,NATIVE_AMERICAN_PCT,HAWAIIAN_PACISLD_PCT,MALE_PCT,FEMALE_PCT,WHITE_MALE,AFRICAN_AMERICAN_MALE,HISPANIC_MALE,ASIAN_MALE,NATIVE_AMERICAN_MALE,HAWAIIAN_PACISLD_MALE,WHITE_FEMALE,AFRICAN_AMERICAN_FEMALE,HISPANIC_FEMALE,ASIAN_FEMALE,NATIVE_AMERICAN_FEMALE,HAWAIIAN_PACISLD_FEMALE,LIMITED_ENGLISH_PROFICIENT_PCT,LIMITED_ENGLISH_PROFICIENT,NUMBER_EXEMPT_FROM_READING_ASSESSMENT,STUDENTS_WITH_DISABILITIES,STUDENTS_WITH_DISABILITIES_PCT,ECONOMICALLY_DISADVANTAGED,ECONOMICALLY_DISADVANTAGED_PCT
2015,920,Weakley County,Sharon School,60,Pre-Kindergarten-8,SAFE SCHOOL,148,229,202,25,1,1,,,140,89,88.2,10.9,0.4,0.4,,,61.1,38.9,126,12,1,1,,,76,13,,,,,,,,90,39.3,229,100
2015,330,Hamilton County,Orchard Knob Elementary,194,Pre-Kindergarten-5,SAFE SCHOOL,591,637,17,561,58,1,,,319,318,2.7,88.1,9.1,0.2,,,50.1,49.9,9,283,27,,,,8,278,31,1,,,5.8,37,,72,11.3,634,99.8
2015,330,Hamilton County,Clifton Hills Elementary,48,Pre-Kindergarten-5,SAFE SCHOOL,530,579,40,297,241,,,1,277,302,6.9,51.3,41.6,,,0.2,47.8,52.2,17,134,125,,,1,23,163,116,,,,28.8,167,,62,10.7,578,99.8
2015,792,Shelby County,Caldwell-Guthrie Elementary,2067,Pre-Kindergarten-5,SAFE SCHOOL,447,531,,529,1,,1,,280,251,,99.6,0.2,,0.2,,52.7,47.3,,279,,,1,,,250,1,,,,,,,90,16.9,530,99.8
2015,985,Achievement School District,Whitney Achievement Elementary School,20,Pre-Kindergarten-5,SAFE SCHOOL,402,446,10,430,6,,,,197,249,2.2,96.4,1.3,,,,44.2,55.8,3,190,4,,,,7,240,2,,,,1.1,5,,55,12.3,444,99.8
2015,792,Shelby County,Chickasaw Middle School,2108,Grades 7-8,SAFE SCHOOL,419,436,,433,1,,1,,245,191,,99.3,0.2,,0.2,,56.2,43.8,,242,1,,1,,,191,,,,,,,,82,18.8,435,99.8
2015,985,Achievement School District,Aspire Hanley #1,8024,Pre-Kindergarten-6,SAFE SCHOOL,375,400,1,398,,,,,209,191,0.3,99.5,,,,,52.3,47.8,,208,,,,,1,190,,,,,,,,49,12.3,398,99.7
2015,985,Achievement School District,Aspire Hanley #2,8025,Pre-Kindergarten-6,SAFE SCHOOL,354,390,3,387,,,,,197,193,0.8,99.2,,,,,50.5,49.5,3,194,,,,,,193,,,,,,,,45,11.5,390,99.7
2015,792,Shelby County,Crump Elementary,2133,Pre-Kindergarten-5,SAFE SCHOOL,741,775,7,606,160,,,1,375,400,0.9,78.2,20.6,,,0.1,48.4,51.6,6,292,75,,,1,1,314,85,,,,17.4,135,,80,10.3,773,99.7
2015,985,Achievement School District,Georgian Hills Achievement Elementary School,25,Pre-Kindergarten-5,SAFE SCHOOL,297,358,12,335,9,,,,192,166,3.4,93.6,2.5,,,,53.6,46.4,5,181,5,,,,7,154,4,,,,1.1,4,,55,15.4,356,99.7
2015,271,Humboldt,East Elementary School,27,Grades 2-5,SAFE SCHOOL,313,325,72,235,17,,1,,166,159,22.2,72.3,5.2,,0.3,,51.1,48.9,40,116,9,,1,,32,119,8,,,,3.4,11,,61,18.8,324,99.7
2015,792,Shelby County,Kingsbury Elementary,2370,Pre-Kindergarten-6,SAFE SCHOOL,557,625,96,112,406,5,5,,319,306,15.4,17.9,65,0.8,0.8,,51,49,44,50,221,3,1,,52,62,185,2,4,,57.1,357,,137,21.9,623,99.7
2015,350,Hardeman County,Whiteville Elementary,55,Pre-Kindergarten-8,SAFE SCHOOL,261,288,53,231,4,,,,137,151,18.4,80.2,1.4,,,,47.6,52.4,29,106,2,,,,24,125,2,,,,,,,46,16,287,99.7
2015,330,Hamilton County,East Lake Academy Of Fine Arts,64,Grades 6-8,SAFE SCHOOL,527,539,44,324,171,,,,300,239,8.2,60.1,31.7,,,,55.7,44.3,26,173,101,,,,18,151,70,,,,14.5,78,,78,14.5,537,99.6
2015,985,Achievement School District,Pathways in Education - TN,45,Grades 7-12,SAFE SCHOOL,214,221,12,204,4,,1,,92,129,5.4,92.3,1.8,,0.5,,41.6,58.4,3,89,,,,,9,115,4,,1,,,,,18,8.1,218,99.5
2015,792,Shelby County,Newberry Elementary,2525,Kindergarten-5,SAFE SCHOOL,405,430,2,384,37,6,,,220,210,0.5,89.3,8.6,1.4,,,51.2,48.8,2,192,20,5,,,,192,17,1,,,9.5,41,,67,15.6,428,99.5
2015,792,Shelby County,Lucie E. Campbell Elementary,2463,Pre-Kindergarten-5,SAFE SCHOOL,314,369,5,353,10,,,,185,184,1.4,95.7,2.7,,,,50.1,49.9,4,175,6,,,,1,178,4,,,,,,,73,19.8,367,99.5
2015,985,Achievement School District,Freedom Preparatory Academy Charter Elementary School,8075,Kindergarten-1,SAFE SCHOOL,183,180,3,171,6,,,,86,94,1.7,95,3.3,,,,47.8,52.2,1,81,4,,,,2,90,2,,,,,,,13,7.2,179,99.4
2015,792,Shelby County,Sherwood Middle School,2670,Grades 6-8,SAFE SCHOOL,660,682,4,615,60,1,1,,351,331,0.6,90.2,8.8,0.1,0.1,,51.5,48.5,3,316,31,,,,1,299,29,1,1,,5.3,36,,132,19.4,678,99.4
2015,792,Shelby County,Germantown Middle School,107,Grades 6-8,SAFE SCHOOL,604,633,61,467,47,55,,2,343,290,9.6,73.8,7.4,8.7,,0.3,54.2,45.8,33,255,23,30,,1,28,212,24,25,,1,5.7,36,,89,14.1,629,99.4
2015,792,Shelby County,Georgian Hills Middle School,2255,Grades 6-8,SAFE SCHOOL,285,310,1,306,2,,,,165,145,0.3,98.7,0.6,,,,53.2,46.8,1,163,,,,,,143,2,,,,0.3,1,,62,20,308,99.4
2015,792,Shelby County,Geeter Middle School,2240,Grades 6-8,SAFE SCHOOL,379,442,2,433,6,,1,,237,205,0.5,98,1.4,,0.2,,53.6,46.4,2,231,3,,1,,,202,3,,,,0.7,3,,91,20.6,439,99.3
2015,792,Shelby County,Charjean Elementary,2095,Kindergarten-5,SAFE SCHOOL,373,407,3,274,129,,,,198,209,0.7,67.3,31.7,,,,48.6,51.4,1,140,57,,,,2,134,72,,,,28.5,116,,25,6.1,404,99.3
2015,792,Shelby County,Jackson Elementary,2360,Kindergarten-5,SAFE SCHOOL,376,401,22,86,288,3,1,,208,193,5.5,21.4,71.8,0.7,0.2,,51.9,48.1,9,48,147,2,1,,13,38,141,1,,,50.9,204,,36,9,398,99.3
2015,792,Shelby County,Winridge Elementary School,2810,Kindergarten-5,SAFE SCHOOL,520,528,1,464,61,,,,275,253,0.2,87.9,11.6,,,,52.1,47.9,,246,28,,,,1,218,33,,,,11,58,,65,12.3,523,99.2
2015,792,Shelby County,Wells Station Elementary,2745,Pre-Kindergarten-5,SAFE SCHOOL,747,771,110,90,561,7,1,1,382,389,14.3,11.7,72.8,0.9,0.1,0.1,49.5,50.5,57,43,276,4,,1,53,47,285,3,1,,63.2,487,,87,11.3,763,99.2
2015,190,Davidson County,Kirkpatrick Elementary,425,Pre-Kindergarten-4,SAFE SCHOOL,298,375,30,333,4,7,1,,191,184,8,88.8,1.1,1.9,0.3,,50.9,49.1,12,175,1,3,,,18,158,3,4,1,,5.3,20,,45,12,372,99.2
2015,792,Shelby County,Levi Elementary,2435,Pre-Kindergarten-5,SAFE SCHOOL,426,478,,475,3,,,,236,242,,99.4,0.6,,,,49.4,50.6,,235,1,,,,,240,2,,,,0.8,4,,52,10.9,474,99.2
2015,792,Shelby County,Cummings School,2135,Pre-Kindergarten-8,SAFE SCHOOL,524,577,1,576,,,,,289,288,0.2,99.8,,,,,50.1,49.9,1,288,,,,,,288,,,,,0.2,1,,69,12,572,99.1
2015,792,Shelby County,Robert R. Church Elementary School,2626,Pre-Kindergarten-5,SAFE SCHOOL,715,741,,730,10,,,,367,374,,98.5,1.3,,,,49.5,50.5,,363,4,,,,,367,6,,,,6.5,48,,82,11.1,732,99.1
2015,330,Hamilton County,Hardy Elementary School,110,Pre-Kindergarten-5,SAFE SCHOOL,443,521,23,493,4,1,,,267,254,4.4,94.6,0.8,0.2,,,51.2,48.8,15,249,2,1,,,8,244,2,,,,0.4,2,,66,12.7,515,99
2015,792,Shelby County,Grandview Heights Middle,2835,Grades 6-8,SAFE SCHOOL,653,703,4,692,6,,,,356,347,0.6,98.4,0.9,,,,50.6,49.4,2,350,3,,,,2,342,3,,,,0.7,5,,128,18.2,693,99
2015,370,Hawkins County,Carter's Valley Elementary,15,Pre-Kindergarten-4,SAFE SCHOOL,282,308,288,7,9,2,2,,148,160,93.5,2.3,2.9,0.6,0.6,,48.1,51.9,139,3,4,1,1,,149,4,5,1,1,,1,3,,64,20.8,295,99
2015,792,Shelby County,Carnes Elementary,2075,Pre-Kindergarten-5,SAFE SCHOOL,245,262,2,244,14,2,,,135,127,0.8,93.1,5.3,0.8,,,51.5,48.5,2,128,4,1,,,,116,10,1,,,5,13,,26,9.9,257,98.8
2015,792,Shelby County,Denver Elementary,2150,Pre-Kindergarten-5,SAFE SCHOOL,559,596,16,563,14,,3,,317,279,2.7,94.5,2.3,,0.5,,53.2,46.8,12,293,9,,3,,4,270,5,,,,0.3,2,,72,12.1,587,98.8
2015,190,Davidson County,Haywood Elementary,310,Pre-Kindergarten-4,SAFE SCHOOL,797,842,121,98,516,105,,2,452,390,14.4,11.6,61.3,12.5,,0.2,53.7,46.3,68,56,259,69,,,53,42,257,36,,2,62.8,529,,69,8.2,832,98.8
2015,792,Shelby County,Oakhaven High School,2545,Grades 9-12,SAFE SCHOOL,400,421,1,395,21,4,,,218,203,0.2,93.8,5,1,,,51.8,48.2,,203,14,1,,,1,192,7,3,,,1.9,8,,52,12.4,416,98.8
2015,792,Shelby County,Oakshire Elementary,2550,Pre-Kindergarten-5,SAFE SCHOOL,475,504,,502,,2,,,257,247,,99.6,,0.4,,,51,49,,256,,1,,,,246,,1,,,0.2,1,,83,16.5,497,98.8
2015,792,Shelby County,B T Washington High School,2030,Grades 6-12,SAFE SCHOOL,565,583,1,581,1,,,,288,295,0.2,99.7,0.2,,,,49.4,50.6,,287,1,,,,1,294,,,,,0.2,1,,135,23.2,576,98.8
2015,12,Oak Ridge,Willow Brook Elementary,45,Kindergarten-4,SAFE SCHOOL,392,399,249,100,40,6,4,,200,199,62.4,25.1,10,1.5,1,,50.1,49.9,126,54,17,2,1,,123,46,23,4,3,,3.8,15,,82,20.6,394,98.7
2015,792,Shelby County,Brookmeade Elementary,2055,Pre-Kindergarten-5,SAFE SCHOOL,289,316,8,304,3,,,,179,137,2.5,96.2,0.9,,,,56.6,43.4,5,171,2,,,,3,133,1,,,,,,,39,12.3,312,98.7
2015,985,Achievement School District,Corning Achievement Elementary,5,Pre-Kindergarten-5,SAFE SCHOOL,277,312,5,304,2,,1,,155,157,1.6,97.4,0.6,,0.3,,49.7,50.3,2,152,1,,,,3,152,1,,1,,,,,32,10.3,308,98.7
2015,792,Shelby County,Dunbar Elementary,2165,Pre-Kindergarten-5,SAFE SCHOOL,293,310,,309,,,,,157,153,,99.7,,,,,50.6,49.4,,156,,,,,,153,,,,,,,,35,11.3,306,98.7
2015,792,Shelby County,Memphis Business Academy Middle,8215,Grade 7,SAFE SCHOOL,308,307,2,247,58,,,,122,185,0.7,80.5,18.9,,,,39.7,60.3,2,94,26,,,,,153,32,,,,12.4,38,,24,7.8,303,98.7
2015,190,Davidson County,Park Avenue Elementary,545,Pre-Kindergarten-4,SAFE SCHOOL,476,521,14,497,9,,,1,294,227,2.7,95.4,1.7,,,0.2,56.4,43.6,6,278,9,,,1,8,219,,,,,1.3,7,,73,14,513,98.7
2015,792,Shelby County,Sheffield Elementary,2655,Pre-Kindergarten-5,SAFE SCHOOL,558,581,9,396,173,1,1,,309,272,1.5,68.2,29.8,0.2,0.2,,53.2,46.8,6,207,93,1,1,,3,189,80,,,,26.9,156,,43,7.4,573,98.6
2015,271,Humboldt,Humboldt Junior/Senior High School,20,Grades 9-12,SAFE SCHOOL,270,272,47,215,9,,1,,138,134,17.3,79,3.3,,0.4,,50.7,49.3,19,112,6,,1,,28,103,3,,,,0.7,2,,40,14.7,268,98.5
2015,792,Shelby County,Alton Elementary,2020,Pre-Kindergarten-5,SAFE SCHOOL,306,339,,332,7,,,,174,165,,97.9,2.1,,,,51.3,48.7,,173,1,,,,,159,6,,,,0.3,1,,52,15.3,333,98.5
2015,792,Shelby County,Fairley Elementary,2190,Pre-Kindergarten-5,SAFE SCHOOL,498,527,1,522,4,,,,292,235,0.2,99.1,0.8,,,,55.4,44.6,,288,4,,,,1,234,,,,,0.2,1,,54,10.2,519,98.5
2015,792,Shelby County,Trezevant High School,2725,Grades 9-12,SAFE SCHOOL,546,578,1,573,1,1,,,293,285,0.2,99.1,0.2,0.2,,,50.7,49.3,1,288,1,1,,,,285,,,,,0.5,3,,113,19.6,569,98.4
2015,985,Achievement School District,Westside Achievement Middle School,10,Grades 6-8,SAFE SCHOOL,359,369,7,355,5,2,,,195,174,1.9,96.2,1.4,0.5,,,52.8,47.2,6,187,2,,,,1,168,3,2,,,0.5,2,,71,19.2,363,98.4
2015,190,Davidson County,Paragon Mills Elementary,540,PreK-3-4,SAFE SCHOOL,812,920,132,262,468,57,,1,463,457,14.3,28.5,50.9,6.2,,0.1,50.3,49.7,65,137,234,27,,,67,125,234,30,,1,46.6,429,,95,10.3,905,98.4
2015,190,Davidson County,Buena Vista Elementary,70,Pre-Kindergarten-4,SAFE SCHOOL,315,365,4,355,5,1,,,188,177,1.1,97.3,1.4,0.3,,,51.5,48.5,1,184,3,,,,3,171,2,1,,,1.4,5,,49,13.4,359,98.4
2015,792,Shelby County,Alcy Elementary,2015,Kindergarten-5,SAFE SCHOOL,278,304,,300,3,,,,155,149,,98.7,1,,,,51,49,,152,2,,,,,148,1,,,,,,,51,16.8,299,98.4
2015,792,Shelby County,Airways Middle School,2010,Grades 6-8,SAFE SCHOOL,274,302,1,281,19,,,,163,139,0.3,93,6.3,,,,54,46,1,147,14,,,,,134,5,,,,3.6,11,,74,24.5,297,98.3
2015,792,Shelby County,Raineshaven Elementary,2595,Pre-Kindergarten-5,SAFE SCHOOL,407,470,1,467,2,,,,235,235,0.2,99.4,0.4,,,,50,50,,233,2,,,,1,234,,,,,,,,97,20.6,462,98.3
2015,792,Shelby County,Arrow Academy of Excellence,8150,Kindergarten-2,SAFE SCHOOL,58,58,1,53,4,,,,29,29,1.7,91.4,6.9,,,,50,50,1,26,2,,,,,27,2,,,,6.9,4,,5,8.6,57,98.3
